name,description,image
"Ultra HD TV","A 55-inch Ultra HD TV with smart features.","path/to/ultra_hd_tv.jpg"
"Smart Refrigerator","A modern refrigerator with a smart cooling system.","path/to/smart_refrigerator.jpg"
"Bluetooth Speaker","Portable Bluetooth speaker with deep bass.","path/to/bluetooth_speaker.jpg"
"Gaming Laptop","High-performance laptop for gaming.","path/to/gaming_laptop.jpg"
"Air Conditioner","Energy-efficient air conditioner with remote control.","path/to/air_conditioner.jpg"
"Microwave Oven","Compact microwave oven with multiple presets.","path/to/microwave_oven.jpg"
"Home Theater System","5.1 surround sound system with Bluetooth connectivity.","path/to/home_theater_system.jpg"
"Electric Kettle","1.5-liter electric kettle with auto shut-off feature.","path/to/electric_kettle.jpg"
"Smartwatch","Fitness tracker and smartwatch with heart rate monitor.","path/to/smartwatch.jpg"
"Digital Camera","20MP digital camera with 4K video recording.","path/to/digital_camera.jpg"
"Washing Machine","Front-load washing machine with smart controls.","path/to/washing_machine.jpg"
"Vacuum Cleaner","Cordless vacuum cleaner with powerful suction.","path/to/vacuum_cleaner.jpg"
"Tablet","10-inch tablet with Wi-Fi and LTE connectivity.","path/to/tablet.jpg"
"Dishwasher","Energy-efficient dishwasher with multiple wash programs.","path/to/dishwasher.jpg"
"Coffee Maker","Automatic coffee maker with built-in grinder.","path/to/coffee_maker.jpg"
